learning_rate = 0.1
ml.tf_train(learning_rate=learning_rate, test=False, mode=mode, loops=5000)


percent test accuracy 0.632000029087, loop: 1480
percent test accuracy 0.632000029087, loop: 1490
percent test accuracy 0.638000011444, loop: 1500
percent test accuracy 0.635999977589, loop: 1510
percent test accuracy 0.634000003338, loop: 1520
percent test accuracy 0.635999977589, loop: 1530
percent test accuracy 0.635999977589, loop: 1540
percent test accuracy 0.635999977589, loop: 1550
percent test accuracy 0.634000003338, loop: 1560
percent test accuracy 0.634000003338, loop: 1570
percent test accuracy 0.635999977589, loop: 1580
percent test accuracy 0.634000003338, loop: 1590
percent test accuracy 0.638000011444, loop: 1600
percent test accuracy 0.638000011444, loop: 1610
percent test accuracy 0.638000011444, loop: 1620
percent test accuracy 0.639999985695, loop: 1630
percent test accuracy 0.635999977589, loop: 1640
percent test accuracy 0.64200001955, loop: 1650
percent test accuracy 0.646000027657, loop: 1660
percent test accuracy 0.64200001955, loop: 1670
percent test accuracy 0.64200001955, loop: 1680
percent test accuracy 0.648000001907, loop: 1690
percent test accuracy 0.648000001907, loop: 1700
percent test accuracy 0.648000001907, loop: 1710
percent test accuracy 0.643999993801, loop: 1720
percent test accuracy 0.649999976158, loop: 1730
percent test accuracy 0.649999976158, loop: 1740
percent test accuracy 0.652000010014, loop: 1750
percent test accuracy 0.652000010014, loop: 1760
percent test accuracy 0.653999984264, loop: 1770
percent test accuracy 0.65600001812, loop: 1780
percent test accuracy 0.653999984264, loop: 1790
percent test accuracy 0.65600001812, loop: 1800
percent test accuracy 0.652000010014, loop: 1810
percent test accuracy 0.65600001812, loop: 1820
percent test accuracy 0.649999976158, loop: 1830
percent test accuracy 0.653999984264, loop: 1840
percent test accuracy 0.646000027657, loop: 1850
percent test accuracy 0.65600001812, loop: 1860
percent test accuracy 0.660000026226, loop: 1870
percent test accuracy 0.657999992371, loop: 1880
percent test accuracy 0.652000010014, loop: 1890
percent test accuracy 0.663999974728, loop: 1900
percent test accuracy 0.649999976158, loop: 1910
percent test accuracy 0.663999974728, loop: 1920
percent test accuracy 0.67199999094, loop: 1930
percent test accuracy 0.663999974728, loop: 1940
percent test accuracy 0.65600001812, loop: 1950
percent test accuracy 0.65600001812, loop: 1960
percent test accuracy 0.660000026226, loop: 1970
percent test accuracy 0.670000016689, loop: 1980
percent test accuracy 0.667999982834, loop: 1990
percent test accuracy 0.660000026226, loop: 2000
percent test accuracy 0.666000008583, loop: 2010
percent test accuracy 0.657999992371, loop: 2020
percent test accuracy 0.65600001812, loop: 2030
percent test accuracy 0.653999984264, loop: 2040
percent test accuracy 0.65600001812, loop: 2050
percent test accuracy 0.666000008583, loop: 2060
percent test accuracy 0.663999974728, loop: 2070
percent test accuracy 0.663999974728, loop: 2080
percent test accuracy 0.663999974728, loop: 2090
percent test accuracy 0.670000016689, loop: 2100
percent test accuracy 0.674000024796, loop: 2110
percent test accuracy 0.663999974728, loop: 2120
percent test accuracy 0.674000024796, loop: 2130
percent test accuracy 0.677999973297, loop: 2140
percent test accuracy 0.67199999094, loop: 2150
percent test accuracy 0.675999999046, loop: 2160
percent test accuracy 0.666000008583, loop: 2170
percent test accuracy 0.667999982834, loop: 2180
percent test accuracy 0.666000008583, loop: 2190
percent test accuracy 0.67199999094, loop: 2200
percent test accuracy 0.681999981403, loop: 2210
percent test accuracy 0.670000016689, loop: 2220
percent test accuracy 0.67199999094, loop: 2230
percent test accuracy 0.675999999046, loop: 2240
percent test accuracy 0.675999999046, loop: 2250
percent test accuracy 0.675999999046, loop: 2260
percent test accuracy 0.677999973297, loop: 2270
percent test accuracy 0.677999973297, loop: 2280
percent test accuracy 0.681999981403, loop: 2290
percent test accuracy 0.681999981403, loop: 2300
percent test accuracy 0.681999981403, loop: 2310
percent test accuracy 0.681999981403, loop: 2320
percent test accuracy 0.684000015259, loop: 2330
percent test accuracy 0.68599998951, loop: 2340
percent test accuracy 0.684000015259, loop: 2350
percent test accuracy 0.681999981403, loop: 2360
percent test accuracy 0.684000015259, loop: 2370
percent test accuracy 0.68599998951, loop: 2380
percent test accuracy 0.68599998951, loop: 2390
percent test accuracy 0.688000023365, loop: 2400
percent test accuracy 0.681999981403, loop: 2410
percent test accuracy 0.68599998951, loop: 2420
percent test accuracy 0.68599998951, loop: 2430
percent test accuracy 0.688000023365, loop: 2440
percent test accuracy 0.688000023365, loop: 2450
percent test accuracy 0.689999997616, loop: 2460
percent test accuracy 0.689999997616, loop: 2470
percent test accuracy 0.688000023365, loop: 2480
percent test accuracy 0.684000015259, loop: 2490
percent test accuracy 0.689999997616, loop: 2500
percent test accuracy 0.688000023365, loop: 2510
