learning_rate = 0.1
ml.tf_mean_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.504000008106, loop: 510
percent test accuracy 0.501999974251, loop: 520
percent test accuracy 0.5, loop: 530
percent test accuracy 0.5, loop: 540
percent test accuracy 0.505999982357, loop: 550
percent test accuracy 0.504000008106, loop: 560
percent test accuracy 0.501999974251, loop: 570
percent test accuracy 0.508000016212, loop: 580
percent test accuracy 0.501999974251, loop: 590
percent test accuracy 0.501999974251, loop: 600
percent test accuracy 0.501999974251, loop: 610
percent test accuracy 0.501999974251, loop: 620
percent test accuracy 0.504000008106, loop: 630
percent test accuracy 0.508000016212, loop: 640
percent test accuracy 0.504000008106, loop: 650
percent test accuracy 0.509999990463, loop: 660
percent test accuracy 0.51599997282, loop: 670
percent test accuracy 0.513999998569, loop: 680
percent test accuracy 0.518000006676, loop: 690
percent test accuracy 0.51599997282, loop: 700
percent test accuracy 0.51599997282, loop: 710
percent test accuracy 0.512000024319, loop: 720
percent test accuracy 0.519999980927, loop: 730
percent test accuracy 0.508000016212, loop: 740
percent test accuracy 0.522000014782, loop: 750
percent test accuracy 0.523999989033, loop: 760
percent test accuracy 0.518000006676, loop: 770
percent test accuracy 0.513999998569, loop: 780
percent test accuracy 0.51599997282, loop: 790
percent test accuracy 0.518000006676, loop: 800
percent test accuracy 0.518000006676, loop: 810
percent test accuracy 0.518000006676, loop: 820
percent test accuracy 0.523999989033, loop: 830
percent test accuracy 0.527999997139, loop: 840
percent test accuracy 0.52999997139, loop: 850
percent test accuracy 0.52999997139, loop: 860
percent test accuracy 0.522000014782, loop: 870
percent test accuracy 0.526000022888, loop: 880
percent test accuracy 0.52999997139, loop: 890
percent test accuracy 0.532000005245, loop: 900
percent test accuracy 0.52999997139, loop: 910
percent test accuracy 0.526000022888, loop: 920
percent test accuracy 0.526000022888, loop: 930
percent test accuracy 0.527999997139, loop: 940
percent test accuracy 0.526000022888, loop: 950
percent test accuracy 0.527999997139, loop: 960
percent test accuracy 0.52999997139, loop: 970
percent test accuracy 0.532000005245, loop: 980
percent test accuracy 0.527999997139, loop: 990
percent test accuracy 0.527999997139, loop: 1000


percent test accuracy 0.527999997139, loop: 10
percent test accuracy 0.533999979496, loop: 20
percent test accuracy 0.527999997139, loop: 30
percent test accuracy 0.532000005245, loop: 40
percent test accuracy 0.532000005245, loop: 50
percent test accuracy 0.536000013351, loop: 60
percent test accuracy 0.537999987602, loop: 70
percent test accuracy 0.533999979496, loop: 80
percent test accuracy 0.536000013351, loop: 90
percent test accuracy 0.537999987602, loop: 100
percent test accuracy 0.540000021458, loop: 110
percent test accuracy 0.537999987602, loop: 120
percent test accuracy 0.541999995708, loop: 130
percent test accuracy 0.544000029564, loop: 140
percent test accuracy 0.547999978065, loop: 150
percent test accuracy 0.546000003815, loop: 160
percent test accuracy 0.537999987602, loop: 170
percent test accuracy 0.544000029564, loop: 180
percent test accuracy 0.546000003815, loop: 190
percent test accuracy 0.546000003815, loop: 200
percent test accuracy 0.544000029564, loop: 210
percent test accuracy 0.540000021458, loop: 220
percent test accuracy 0.540000021458, loop: 230
percent test accuracy 0.540000021458, loop: 240
percent test accuracy 0.540000021458, loop: 250
percent test accuracy 0.547999978065, loop: 260
percent test accuracy 0.540000021458, loop: 270
percent test accuracy 0.544000029564, loop: 280
percent test accuracy 0.544000029564, loop: 290
percent test accuracy 0.544000029564, loop: 300
percent test accuracy 0.547999978065, loop: 310
percent test accuracy 0.546000003815, loop: 320
