learning_rate = 0.1
ml.tf_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.791999995708, loop: 500
percent test accuracy 0.77999997139, loop: 510
percent test accuracy 0.787999987602, loop: 520
percent test accuracy 0.786000013351, loop: 530
percent test accuracy 0.782000005245, loop: 540
percent test accuracy 0.782000005245, loop: 550
percent test accuracy 0.786000013351, loop: 560
percent test accuracy 0.790000021458, loop: 570
percent test accuracy 0.786000013351, loop: 580
percent test accuracy 0.790000021458, loop: 590
percent test accuracy 0.783999979496, loop: 600
percent test accuracy 0.77999997139, loop: 610
percent test accuracy 0.796000003815, loop: 620
percent test accuracy 0.786000013351, loop: 630
percent test accuracy 0.786000013351, loop: 640
percent test accuracy 0.787999987602, loop: 650
percent test accuracy 0.783999979496, loop: 660
percent test accuracy 0.797999978065, loop: 670
percent test accuracy 0.796000003815, loop: 680
percent test accuracy 0.786000013351, loop: 690
percent test accuracy 0.794000029564, loop: 700
percent test accuracy 0.790000021458, loop: 710
percent test accuracy 0.797999978065, loop: 720
percent test accuracy 0.791999995708, loop: 730
percent test accuracy 0.790000021458, loop: 740
percent test accuracy 0.791999995708, loop: 750
percent test accuracy 0.787999987602, loop: 760
percent test accuracy 0.794000029564, loop: 770
percent test accuracy 0.794000029564, loop: 780
percent test accuracy 0.797999978065, loop: 790
percent test accuracy 0.794000029564, loop: 800
percent test accuracy 0.790000021458, loop: 810
percent test accuracy 0.801999986172, loop: 820
percent test accuracy 0.77999997139, loop: 830
percent test accuracy 0.791999995708, loop: 840
percent test accuracy 0.786000013351, loop: 850
percent test accuracy 0.782000005245, loop: 860
percent test accuracy 0.787999987602, loop: 870
percent test accuracy 0.782000005245, loop: 880
percent test accuracy 0.787999987602, loop: 890
percent test accuracy 0.787999987602, loop: 900
percent test accuracy 0.786000013351, loop: 910
percent test accuracy 0.783999979496, loop: 920
percent test accuracy 0.783999979496, loop: 930
percent test accuracy 0.787999987602, loop: 940
percent test accuracy 0.791999995708, loop: 950
percent test accuracy 0.791999995708, loop: 960
percent test accuracy 0.783999979496, loop: 970
percent test accuracy 0.796000003815, loop: 980
percent test accuracy 0.794000029564, loop: 990
percent test accuracy 0.790000021458, loop: 1000
percent test accuracy 0.790000021458, loop: 1001


percent test accuracy 0.787999987602, loop: 10
percent test accuracy 0.787999987602, loop: 20
percent test accuracy 0.791999995708, loop: 30
percent test accuracy 0.786000013351, loop: 40
percent test accuracy 0.786000013351, loop: 50
percent test accuracy 0.801999986172, loop: 60
percent test accuracy 0.804000020027, loop: 70
percent test accuracy 0.800000011921, loop: 80
percent test accuracy 0.787999987602, loop: 90
percent test accuracy 0.797999978065, loop: 100
percent test accuracy 0.783999979496, loop: 110
percent test accuracy 0.790000021458, loop: 120
percent test accuracy 0.790000021458, loop: 130
percent test accuracy 0.790000021458, loop: 140
percent test accuracy 0.790000021458, loop: 150
percent test accuracy 0.790000021458, loop: 160
percent test accuracy 0.790000021458, loop: 170
percent test accuracy 0.791999995708, loop: 180
percent test accuracy 0.794000029564, loop: 190
percent test accuracy 0.800000011921, loop: 200
percent test accuracy 0.791999995708, loop: 210
percent test accuracy 0.787999987602, loop: 220
percent test accuracy 0.804000020027, loop: 230
percent test accuracy 0.791999995708, loop: 240
percent test accuracy 0.791999995708, loop: 250
percent test accuracy 0.794000029564, loop: 260
percent test accuracy 0.794000029564, loop: 270
percent test accuracy 0.786000013351, loop: 280
percent test accuracy 0.790000021458, loop: 290
percent test accuracy 0.791999995708, loop: 300
percent test accuracy 0.77999997139, loop: 310
percent test accuracy 0.800000011921, loop: 320
percent test accuracy 0.77999997139, loop: 330
percent test accuracy 0.794000029564, loop: 340
percent test accuracy 0.782000005245, loop: 350
percent test accuracy 0.786000013351, loop: 360
percent test accuracy 0.790000021458, loop: 370
percent test accuracy 0.794000029564, loop: 380
percent test accuracy 0.782000005245, loop: 390
percent test accuracy 0.790000021458, loop: 400
percent test accuracy 0.786000013351, loop: 410
percent test accuracy 0.77999997139, loop: 420
percent test accuracy 0.783999979496, loop: 430
percent test accuracy 0.777999997139, loop: 440
percent test accuracy 0.791999995708, loop: 450
percent test accuracy 0.787999987602, loop: 460
percent test accuracy 0.783999979496, loop: 470
percent test accuracy 0.783999979496, loop: 480
percent test accuracy 0.787999987602, loop: 490
percent test accuracy 0.790000021458, loop: 500
percent test accuracy 0.791999995708, loop: 510
percent test accuracy 0.783999979496, loop: 520
percent test accuracy 0.77999997139, loop: 530
percent test accuracy 0.77999997139, loop: 540
percent test accuracy 0.783999979496, loop: 550
percent test accuracy 0.786000013351, loop: 560
percent test accuracy 0.790000021458, loop: 570
percent test accuracy 0.783999979496, loop: 580
percent test accuracy 0.77999997139, loop: 590
percent test accuracy 0.791999995708, loop: 600
percent test accuracy 0.797999978065, loop: 610
percent test accuracy 0.787999987602, loop: 620
percent test accuracy 0.794000029564, loop: 630
percent test accuracy 0.796000003815, loop: 640
percent test accuracy 0.797999978065, loop: 650
percent test accuracy 0.791999995708, loop: 660
percent test accuracy 0.787999987602, loop: 670
percent test accuracy 0.787999987602, loop: 680
percent test accuracy 0.790000021458, loop: 690
percent test accuracy 0.787999987602, loop: 700
percent test accuracy 0.787999987602, loop: 710
percent test accuracy 0.790000021458, loop: 720
percent test accuracy 0.787999987602, loop: 730
percent test accuracy 0.791999995708, loop: 740
percent test accuracy 0.791999995708, loop: 750
percent test accuracy 0.791999995708, loop: 760
percent test accuracy 0.783999979496, loop: 770
percent test accuracy 0.796000003815, loop: 780
percent test accuracy 0.796000003815, loop: 790
percent test accuracy 0.791999995708, loop: 800
percent test accuracy 0.796000003815, loop: 810
percent test accuracy 0.797999978065, loop: 820
percent test accuracy 0.797999978065, loop: 830
percent test accuracy 0.800000011921, loop: 840
percent test accuracy 0.801999986172, loop: 850
percent test accuracy 0.800000011921, loop: 860
percent test accuracy 0.797999978065, loop: 870
percent test accuracy 0.804000020027, loop: 880
percent test accuracy 0.797999978065, loop: 890
percent test accuracy 0.796000003815, loop: 900
percent test accuracy 0.796000003815, loop: 910
percent test accuracy 0.796000003815, loop: 920
percent test accuracy 0.800000011921, loop: 930
percent test accuracy 0.794000029564, loop: 940
percent test accuracy 0.805999994278, loop: 950
percent test accuracy 0.790000021458, loop: 960
percent test accuracy 0.796000003815, loop: 970
percent test accuracy 0.811999976635, loop: 980
percent test accuracy 0.801999986172, loop: 990
percent test accuracy 0.797999978065, loop: 1000
percent test accuracy 0.797999978065, loop: 1001
