learning_rate = 0.1
ml.tf_mean_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.797500014305, loop: 500
percent test accuracy 0.800000011921, loop: 510
percent test accuracy 0.802500009537, loop: 520
percent test accuracy 0.800000011921, loop: 530
percent test accuracy 0.797500014305, loop: 540
percent test accuracy 0.807500004768, loop: 550
percent test accuracy 0.805000007153, loop: 560
percent test accuracy 0.807500004768, loop: 570
percent test accuracy 0.807500004768, loop: 580
percent test accuracy 0.802500009537, loop: 590
percent test accuracy 0.802500009537, loop: 600
percent test accuracy 0.802500009537, loop: 610
percent test accuracy 0.802500009537, loop: 620
percent test accuracy 0.802500009537, loop: 630
percent test accuracy 0.810000002384, loop: 640
percent test accuracy 0.819999992847, loop: 650
percent test accuracy 0.807500004768, loop: 660
percent test accuracy 0.8125, loop: 670
percent test accuracy 0.814999997616, loop: 680
percent test accuracy 0.817499995232, loop: 690
percent test accuracy 0.822499990463, loop: 700
percent test accuracy 0.822499990463, loop: 710
percent test accuracy 0.822499990463, loop: 720
percent test accuracy 0.824999988079, loop: 730
percent test accuracy 0.814999997616, loop: 740
percent test accuracy 0.827499985695, loop: 750
percent test accuracy 0.837499976158, loop: 760
percent test accuracy 0.832499980927, loop: 770
percent test accuracy 0.827499985695, loop: 780
percent test accuracy 0.827499985695, loop: 790
percent test accuracy 0.824999988079, loop: 800
percent test accuracy 0.824999988079, loop: 810
percent test accuracy 0.827499985695, loop: 820
percent test accuracy 0.824999988079, loop: 830
percent test accuracy 0.824999988079, loop: 840
percent test accuracy 0.810000002384, loop: 850
percent test accuracy 0.8125, loop: 860
percent test accuracy 0.824999988079, loop: 870
percent test accuracy 0.824999988079, loop: 880
percent test accuracy 0.829999983311, loop: 890
percent test accuracy 0.829999983311, loop: 900
percent test accuracy 0.834999978542, loop: 910
percent test accuracy 0.829999983311, loop: 920
percent test accuracy 0.829999983311, loop: 930
percent test accuracy 0.827499985695, loop: 940
percent test accuracy 0.832499980927, loop: 950
percent test accuracy 0.817499995232, loop: 960
percent test accuracy 0.814999997616, loop: 970
percent test accuracy 0.829999983311, loop: 980
percent test accuracy 0.827499985695, loop: 990
percent test accuracy 0.824999988079, loop: 1000
percent test accuracy 0.824999988079, loop: 1001


percent test accuracy 0.834999978542, loop: 10
percent test accuracy 0.822499990463, loop: 20
percent test accuracy 0.827499985695, loop: 30
percent test accuracy 0.834999978542, loop: 40
percent test accuracy 0.829999983311, loop: 50
percent test accuracy 0.822499990463, loop: 60
percent test accuracy 0.829999983311, loop: 70
percent test accuracy 0.839999973774, loop: 80
percent test accuracy 0.832499980927, loop: 90
percent test accuracy 0.817499995232, loop: 100
percent test accuracy 0.832499980927, loop: 110
percent test accuracy 0.829999983311, loop: 120
percent test accuracy 0.827499985695, loop: 130
percent test accuracy 0.829999983311, loop: 140
percent test accuracy 0.824999988079, loop: 150
percent test accuracy 0.829999983311, loop: 160
percent test accuracy 0.837499976158, loop: 170
percent test accuracy 0.827499985695, loop: 180
percent test accuracy 0.834999978542, loop: 190
percent test accuracy 0.832499980927, loop: 200
percent test accuracy 0.832499980927, loop: 210
percent test accuracy 0.827499985695, loop: 220
percent test accuracy 0.824999988079, loop: 230
percent test accuracy 0.824999988079, loop: 240
percent test accuracy 0.832499980927, loop: 250
percent test accuracy 0.819999992847, loop: 260
percent test accuracy 0.834999978542, loop: 270
percent test accuracy 0.827499985695, loop: 280
percent test accuracy 0.84249997139, loop: 290
percent test accuracy 0.84249997139, loop: 300
percent test accuracy 0.832499980927, loop: 310
percent test accuracy 0.824999988079, loop: 320
percent test accuracy 0.832499980927, loop: 330
percent test accuracy 0.834999978542, loop: 340
percent test accuracy 0.834999978542, loop: 350
percent test accuracy 0.832499980927, loop: 360
percent test accuracy 0.839999973774, loop: 370
percent test accuracy 0.837499976158, loop: 380
percent test accuracy 0.84249997139, loop: 390
percent test accuracy 0.84249997139, loop: 400
percent test accuracy 0.847500026226, loop: 410
percent test accuracy 0.839999973774, loop: 420
percent test accuracy 0.839999973774, loop: 430
percent test accuracy 0.834999978542, loop: 440
percent test accuracy 0.832499980927, loop: 450
percent test accuracy 0.832499980927, loop: 460
percent test accuracy 0.829999983311, loop: 470
percent test accuracy 0.832499980927, loop: 480
percent test accuracy 0.829999983311, loop: 490
percent test accuracy 0.84249997139, loop: 500
percent test accuracy 0.84500002861, loop: 510
percent test accuracy 0.832499980927, loop: 520
percent test accuracy 0.84249997139, loop: 530
percent test accuracy 0.837499976158, loop: 540
percent test accuracy 0.832499980927, loop: 550
percent test accuracy 0.829999983311, loop: 560
percent test accuracy 0.834999978542, loop: 570
percent test accuracy 0.829999983311, loop: 580
percent test accuracy 0.832499980927, loop: 590
percent test accuracy 0.832499980927, loop: 600
percent test accuracy 0.837499976158, loop: 610
percent test accuracy 0.837499976158, loop: 620
percent test accuracy 0.834999978542, loop: 630
percent test accuracy 0.829999983311, loop: 640
percent test accuracy 0.829999983311, loop: 650
percent test accuracy 0.834999978542, loop: 660
percent test accuracy 0.832499980927, loop: 670
percent test accuracy 0.834999978542, loop: 680
percent test accuracy 0.834999978542, loop: 690
percent test accuracy 0.84249997139, loop: 700
percent test accuracy 0.850000023842, loop: 710
percent test accuracy 0.839999973774, loop: 720
percent test accuracy 0.84500002861, loop: 730
percent test accuracy 0.84249997139, loop: 740
percent test accuracy 0.837499976158, loop: 750
percent test accuracy 0.837499976158, loop: 760
percent test accuracy 0.850000023842, loop: 770
percent test accuracy 0.84249997139, loop: 780
percent test accuracy 0.84500002861, loop: 790
percent test accuracy 0.839999973774, loop: 800
percent test accuracy 0.834999978542, loop: 810
percent test accuracy 0.832499980927, loop: 820
percent test accuracy 0.829999983311, loop: 830
percent test accuracy 0.839999973774, loop: 840
percent test accuracy 0.84249997139, loop: 850
percent test accuracy 0.847500026226, loop: 860
percent test accuracy 0.827499985695, loop: 870
percent test accuracy 0.832499980927, loop: 880
percent test accuracy 0.839999973774, loop: 890
percent test accuracy 0.834999978542, loop: 900
percent test accuracy 0.834999978542, loop: 910
percent test accuracy 0.829999983311, loop: 920
percent test accuracy 0.834999978542, loop: 930
percent test accuracy 0.819999992847, loop: 940
percent test accuracy 0.839999973774, loop: 950
percent test accuracy 0.832499980927, loop: 960
percent test accuracy 0.839999973774, loop: 970
percent test accuracy 0.84249997139, loop: 980
percent test accuracy 0.834999978542, loop: 990
percent test accuracy 0.839999973774, loop: 1000
percent test accuracy 0.839999973774, loop: 1001


learning_rate = 0.01
ml.tf_mean_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.837499976158, loop: 10
percent test accuracy 0.837499976158, loop: 20
percent test accuracy 0.839999973774, loop: 30
percent test accuracy 0.837499976158, loop: 40
percent test accuracy 0.837499976158, loop: 50
percent test accuracy 0.837499976158, loop: 60
percent test accuracy 0.837499976158, loop: 70
percent test accuracy 0.837499976158, loop: 80
percent test accuracy 0.837499976158, loop: 90
percent test accuracy 0.837499976158, loop: 100
percent test accuracy 0.837499976158, loop: 110
percent test accuracy 0.837499976158, loop: 120
percent test accuracy 0.837499976158, loop: 130
percent test accuracy 0.837499976158, loop: 140
percent test accuracy 0.837499976158, loop: 150
percent test accuracy 0.834999978542, loop: 160
percent test accuracy 0.837499976158, loop: 170
percent test accuracy 0.837499976158, loop: 180
percent test accuracy 0.837499976158, loop: 190
percent test accuracy 0.837499976158, loop: 200
percent test accuracy 0.837499976158, loop: 210
percent test accuracy 0.837499976158, loop: 220
percent test accuracy 0.837499976158, loop: 230
percent test accuracy 0.837499976158, loop: 240
percent test accuracy 0.837499976158, loop: 250
percent test accuracy 0.837499976158, loop: 260
percent test accuracy 0.837499976158, loop: 270
percent test accuracy 0.837499976158, loop: 280
percent test accuracy 0.837499976158, loop: 290
percent test accuracy 0.837499976158, loop: 300
percent test accuracy 0.837499976158, loop: 310
percent test accuracy 0.837499976158, loop: 320
percent test accuracy 0.834999978542, loop: 330
percent test accuracy 0.837499976158, loop: 340
percent test accuracy 0.834999978542, loop: 350
percent test accuracy 0.837499976158, loop: 360
percent test accuracy 0.837499976158, loop: 370
percent test accuracy 0.837499976158, loop: 380
percent test accuracy 0.834999978542, loop: 390
percent test accuracy 0.834999978542, loop: 400
percent test accuracy 0.834999978542, loop: 410
percent test accuracy 0.834999978542, loop: 420
percent test accuracy 0.834999978542, loop: 430
percent test accuracy 0.834999978542, loop: 440
percent test accuracy 0.834999978542, loop: 450
percent test accuracy 0.834999978542, loop: 460
percent test accuracy 0.834999978542, loop: 470
percent test accuracy 0.834999978542, loop: 480
percent test accuracy 0.834999978542, loop: 490
percent test accuracy 0.834999978542, loop: 500
percent test accuracy 0.834999978542, loop: 510
percent test accuracy 0.837499976158, loop: 520
percent test accuracy 0.834999978542, loop: 530
percent test accuracy 0.834999978542, loop: 540
percent test accuracy 0.834999978542, loop: 550
percent test accuracy 0.834999978542, loop: 560
percent test accuracy 0.837499976158, loop: 570
percent test accuracy 0.837499976158, loop: 580
percent test accuracy 0.837499976158, loop: 590
percent test accuracy 0.837499976158, loop: 600
percent test accuracy 0.837499976158, loop: 610
percent test accuracy 0.837499976158, loop: 620
percent test accuracy 0.837499976158, loop: 630
percent test accuracy 0.837499976158, loop: 640
percent test accuracy 0.837499976158, loop: 650
percent test accuracy 0.834999978542, loop: 660
percent test accuracy 0.834999978542, loop: 670
percent test accuracy 0.834999978542, loop: 680
percent test accuracy 0.834999978542, loop: 690
percent test accuracy 0.837499976158, loop: 700
percent test accuracy 0.834999978542, loop: 710
percent test accuracy 0.837499976158, loop: 720
percent test accuracy 0.837499976158, loop: 730
percent test accuracy 0.834999978542, loop: 740
percent test accuracy 0.834999978542, loop: 750
percent test accuracy 0.839999973774, loop: 760
percent test accuracy 0.837499976158, loop: 770
percent test accuracy 0.837499976158, loop: 780
percent test accuracy 0.837499976158, loop: 790
percent test accuracy 0.837499976158, loop: 800
percent test accuracy 0.837499976158, loop: 810
percent test accuracy 0.837499976158, loop: 820
percent test accuracy 0.834999978542, loop: 830
percent test accuracy 0.837499976158, loop: 840
percent test accuracy 0.837499976158, loop: 850
percent test accuracy 0.837499976158, loop: 860
percent test accuracy 0.837499976158, loop: 870
percent test accuracy 0.837499976158, loop: 880
percent test accuracy 0.837499976158, loop: 890
percent test accuracy 0.837499976158, loop: 900
percent test accuracy 0.839999973774, loop: 910
percent test accuracy 0.839999973774, loop: 920
percent test accuracy 0.839999973774, loop: 930
percent test accuracy 0.839999973774, loop: 940
percent test accuracy 0.839999973774, loop: 950
percent test accuracy 0.839999973774, loop: 960
percent test accuracy 0.837499976158, loop: 970
percent test accuracy 0.839999973774, loop: 980
percent test accuracy 0.837499976158, loop: 990
percent test accuracy 0.837499976158, loop: 1000
percent test accuracy 0.837499976158, loop: 1001
