learning_rate = 0.1
ml.tf_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.709999978542, loop: 150
percent test accuracy 0.695999979973, loop: 160
percent test accuracy 0.698000013828, loop: 170
percent test accuracy 0.705999970436, loop: 180
percent test accuracy 0.698000013828, loop: 190
percent test accuracy 0.699999988079, loop: 200
percent test accuracy 0.703999996185, loop: 210
percent test accuracy 0.702000021935, loop: 220
percent test accuracy 0.708000004292, loop: 230
percent test accuracy 0.694000005722, loop: 240
percent test accuracy 0.691999971867, loop: 250
percent test accuracy 0.703999996185, loop: 260
percent test accuracy 0.702000021935, loop: 270
percent test accuracy 0.699999988079, loop: 280
percent test accuracy 0.698000013828, loop: 290
percent test accuracy 0.703999996185, loop: 300
percent test accuracy 0.695999979973, loop: 310
percent test accuracy 0.702000021935, loop: 320
percent test accuracy 0.698000013828, loop: 330
percent test accuracy 0.702000021935, loop: 340
percent test accuracy 0.702000021935, loop: 350
percent test accuracy 0.695999979973, loop: 360
percent test accuracy 0.695999979973, loop: 370
percent test accuracy 0.694000005722, loop: 380
percent test accuracy 0.695999979973, loop: 390
percent test accuracy 0.68599998951, loop: 400
percent test accuracy 0.703999996185, loop: 410
percent test accuracy 0.698000013828, loop: 420
percent test accuracy 0.708000004292, loop: 430
percent test accuracy 0.699999988079, loop: 440
percent test accuracy 0.675999999046, loop: 450
percent test accuracy 0.694000005722, loop: 460
percent test accuracy 0.688000023365, loop: 470
percent test accuracy 0.691999971867, loop: 480
percent test accuracy 0.68599998951, loop: 490
percent test accuracy 0.688000023365, loop: 500
percent test accuracy 0.691999971867, loop: 510
percent test accuracy 0.703999996185, loop: 520
