learning_rate = 0.1
ml.tf_mean_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.584999978542, loop: 10
percent test accuracy 0.84500002861, loop: 220
percent test accuracy 0.850000023842, loop: 230
percent test accuracy 0.850000023842, loop: 240
percent test accuracy 0.850000023842, loop: 250
percent test accuracy 0.850000023842, loop: 260
percent test accuracy 0.850000023842, loop: 270
percent test accuracy 0.839999973774, loop: 280
percent test accuracy 0.84500002861, loop: 290
percent test accuracy 0.834999978542, loop: 300
percent test accuracy 0.839999973774, loop: 310
percent test accuracy 0.84500002861, loop: 320
percent test accuracy 0.839999973774, loop: 330
percent test accuracy 0.84500002861, loop: 340
percent test accuracy 0.84500002861, loop: 350
percent test accuracy 0.839999973774, loop: 360
percent test accuracy 0.84500002861, loop: 370
percent test accuracy 0.850000023842, loop: 380
percent test accuracy 0.850000023842, loop: 390
percent test accuracy 0.839999973774, loop: 400
percent test accuracy 0.855000019073, loop: 410
percent test accuracy 0.855000019073, loop: 420
percent test accuracy 0.850000023842, loop: 430
percent test accuracy 0.850000023842, loop: 440
percent test accuracy 0.84500002861, loop: 450
percent test accuracy 0.850000023842, loop: 460
percent test accuracy 0.84500002861, loop: 470
percent test accuracy 0.84500002861, loop: 480
percent test accuracy 0.839999973774, loop: 490
percent test accuracy 0.855000019073, loop: 500
percent test accuracy 0.850000023842, loop: 510
percent test accuracy 0.850000023842, loop: 520
percent test accuracy 0.855000019073, loop: 530
percent test accuracy 0.850000023842, loop: 540
percent test accuracy 0.855000019073, loop: 550
percent test accuracy 0.855000019073, loop: 560
percent test accuracy 0.855000019073, loop: 570
percent test accuracy 0.855000019073, loop: 580
percent test accuracy 0.855000019073, loop: 590
percent test accuracy 0.855000019073, loop: 600
percent test accuracy 0.855000019073, loop: 610
percent test accuracy 0.860000014305, loop: 620
percent test accuracy 0.860000014305, loop: 630
percent test accuracy 0.860000014305, loop: 640
percent test accuracy 0.855000019073, loop: 650
percent test accuracy 0.860000014305, loop: 660
percent test accuracy 0.860000014305, loop: 670
percent test accuracy 0.855000019073, loop: 680
percent test accuracy 0.860000014305, loop: 690
percent test accuracy 0.860000014305, loop: 700
percent test accuracy 0.855000019073, loop: 710
percent test accuracy 0.850000023842, loop: 720
percent test accuracy 0.855000019073, loop: 730
percent test accuracy 0.855000019073, loop: 740
percent test accuracy 0.860000014305, loop: 750
percent test accuracy 0.855000019073, loop: 760
percent test accuracy 0.839999973774, loop: 770
percent test accuracy 0.84500002861, loop: 780
percent test accuracy 0.84500002861, loop: 790
percent test accuracy 0.860000014305, loop: 800
percent test accuracy 0.839999973774, loop: 810
percent test accuracy 0.860000014305, loop: 820
percent test accuracy 0.860000014305, loop: 830
percent test accuracy 0.855000019073, loop: 840
percent test accuracy 0.860000014305, loop: 850
percent test accuracy 0.865000009537, loop: 860
percent test accuracy 0.865000009537, loop: 870
percent test accuracy 0.860000014305, loop: 880
percent test accuracy 0.860000014305, loop: 890
percent test accuracy 0.860000014305, loop: 900
percent test accuracy 0.860000014305, loop: 910
percent test accuracy 0.855000019073, loop: 920
percent test accuracy 0.860000014305, loop: 930
percent test accuracy 0.860000014305, loop: 940
percent test accuracy 0.855000019073, loop: 950
percent test accuracy 0.84500002861, loop: 960
percent test accuracy 0.855000019073, loop: 970
percent test accuracy 0.84500002861, loop: 980
percent test accuracy 0.865000009537, loop: 990
percent test accuracy 0.860000014305, loop: 1000
percent test accuracy 0.860000014305, loop: 1001


learning_rate = 0.05
ml.tf_mean_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.860000014305, loop: 10
percent test accuracy 0.860000014305, loop: 20
percent test accuracy 0.865000009537, loop: 30
percent test accuracy 0.865000009537, loop: 40
percent test accuracy 0.865000009537, loop: 50
percent test accuracy 0.865000009537, loop: 60
percent test accuracy 0.865000009537, loop: 70
percent test accuracy 0.860000014305, loop: 80
percent test accuracy 0.865000009537, loop: 90
percent test accuracy 0.860000014305, loop: 100
percent test accuracy 0.865000009537, loop: 110
percent test accuracy 0.865000009537, loop: 120
percent test accuracy 0.865000009537, loop: 130
percent test accuracy 0.860000014305, loop: 140
percent test accuracy 0.865000009537, loop: 150
percent test accuracy 0.860000014305, loop: 160
percent test accuracy 0.860000014305, loop: 170
percent test accuracy 0.865000009537, loop: 180
percent test accuracy 0.865000009537, loop: 190
percent test accuracy 0.860000014305, loop: 200
percent test accuracy 0.860000014305, loop: 210
percent test accuracy 0.865000009537, loop: 220
percent test accuracy 0.865000009537, loop: 230
percent test accuracy 0.860000014305, loop: 240
percent test accuracy 0.865000009537, loop: 250
percent test accuracy 0.865000009537, loop: 260
percent test accuracy 0.865000009537, loop: 270
percent test accuracy 0.865000009537, loop: 280
percent test accuracy 0.865000009537, loop: 290
percent test accuracy 0.865000009537, loop: 300
percent test accuracy 0.865000009537, loop: 310
percent test accuracy 0.865000009537, loop: 320
percent test accuracy 0.865000009537, loop: 330
percent test accuracy 0.865000009537, loop: 340
percent test accuracy 0.865000009537, loop: 350
percent test accuracy 0.865000009537, loop: 360
percent test accuracy 0.865000009537, loop: 370
percent test accuracy 0.860000014305, loop: 380
percent test accuracy 0.860000014305, loop: 390
percent test accuracy 0.865000009537, loop: 400
percent test accuracy 0.865000009537, loop: 410
percent test accuracy 0.865000009537, loop: 420
percent test accuracy 0.865000009537, loop: 430
percent test accuracy 0.870000004768, loop: 440
percent test accuracy 0.870000004768, loop: 450
percent test accuracy 0.860000014305, loop: 460
percent test accuracy 0.870000004768, loop: 470
percent test accuracy 0.865000009537, loop: 480
percent test accuracy 0.860000014305, loop: 490
percent test accuracy 0.870000004768, loop: 500
percent test accuracy 0.865000009537, loop: 510
percent test accuracy 0.865000009537, loop: 520
percent test accuracy 0.870000004768, loop: 530
percent test accuracy 0.865000009537, loop: 540
percent test accuracy 0.865000009537, loop: 550
percent test accuracy 0.870000004768, loop: 560
percent test accuracy 0.870000004768, loop: 570
percent test accuracy 0.870000004768, loop: 580
percent test accuracy 0.865000009537, loop: 590
percent test accuracy 0.870000004768, loop: 600
percent test accuracy 0.865000009537, loop: 610
percent test accuracy 0.865000009537, loop: 620
percent test accuracy 0.865000009537, loop: 630
percent test accuracy 0.865000009537, loop: 640
percent test accuracy 0.870000004768, loop: 650
percent test accuracy 0.870000004768, loop: 660
percent test accuracy 0.870000004768, loop: 670
percent test accuracy 0.865000009537, loop: 680
percent test accuracy 0.855000019073, loop: 690
percent test accuracy 0.850000023842, loop: 700
percent test accuracy 0.860000014305, loop: 710
percent test accuracy 0.860000014305, loop: 720
percent test accuracy 0.850000023842, loop: 730
percent test accuracy 0.870000004768, loop: 740
percent test accuracy 0.860000014305, loop: 750
percent test accuracy 0.860000014305, loop: 760
percent test accuracy 0.865000009537, loop: 770
percent test accuracy 0.865000009537, loop: 780
percent test accuracy 0.865000009537, loop: 790
percent test accuracy 0.865000009537, loop: 800
percent test accuracy 0.860000014305, loop: 810
percent test accuracy 0.865000009537, loop: 820
percent test accuracy 0.865000009537, loop: 830
percent test accuracy 0.865000009537, loop: 840
percent test accuracy 0.860000014305, loop: 850
percent test accuracy 0.865000009537, loop: 860
percent test accuracy 0.865000009537, loop: 870
percent test accuracy 0.865000009537, loop: 880
percent test accuracy 0.865000009537, loop: 890
percent test accuracy 0.865000009537, loop: 900
percent test accuracy 0.865000009537, loop: 910
percent test accuracy 0.870000004768, loop: 920
percent test accuracy 0.865000009537, loop: 930
percent test accuracy 0.865000009537, loop: 940
percent test accuracy 0.865000009537, loop: 950
percent test accuracy 0.865000009537, loop: 960
percent test accuracy 0.860000014305, loop: 970
percent test accuracy 0.865000009537, loop: 980
percent test accuracy 0.865000009537, loop: 990
percent test accuracy 0.860000014305, loop: 1000
percent test accuracy 0.860000014305, loop: 1001






Using [1,2], [4,5] trained W, and b
learning_rate = 0.1
ml.tf_mean_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)


percent test accuracy 0.879999995232, loop: 10
percent test accuracy 0.875, loop: 20
percent test accuracy 0.889999985695, loop: 30
percent test accuracy 0.879999995232, loop: 40
percent test accuracy 0.879999995232, loop: 50
percent test accuracy 0.875, loop: 60
percent test accuracy 0.884999990463, loop: 70
percent test accuracy 0.879999995232, loop: 80
percent test accuracy 0.879999995232, loop: 90
percent test accuracy 0.879999995232, loop: 100
percent test accuracy 0.875, loop: 110
percent test accuracy 0.879999995232, loop: 120
percent test accuracy 0.879999995232, loop: 130
percent test accuracy 0.879999995232, loop: 140
percent test accuracy 0.884999990463, loop: 150
percent test accuracy 0.884999990463, loop: 160
percent test accuracy 0.879999995232, loop: 170
percent test accuracy 0.879999995232, loop: 180
percent test accuracy 0.884999990463, loop: 190
percent test accuracy 0.884999990463, loop: 200
percent test accuracy 0.879999995232, loop: 210
percent test accuracy 0.879999995232, loop: 220
percent test accuracy 0.884999990463, loop: 230
percent test accuracy 0.884999990463, loop: 240
percent test accuracy 0.884999990463, loop: 250
percent test accuracy 0.879999995232, loop: 260
percent test accuracy 0.889999985695, loop: 270
percent test accuracy 0.879999995232, loop: 280
percent test accuracy 0.875, loop: 290
percent test accuracy 0.879999995232, loop: 300
percent test accuracy 0.884999990463, loop: 310
percent test accuracy 0.884999990463, loop: 320
percent test accuracy 0.889999985695, loop: 330
percent test accuracy 0.889999985695, loop: 340
percent test accuracy 0.889999985695, loop: 350
percent test accuracy 0.879999995232, loop: 360
percent test accuracy 0.889999985695, loop: 370
percent test accuracy 0.889999985695, loop: 380
percent test accuracy 0.884999990463, loop: 390
percent test accuracy 0.889999985695, loop: 400
percent test accuracy 0.889999985695, loop: 410
percent test accuracy 0.889999985695, loop: 420
percent test accuracy 0.889999985695, loop: 430
percent test accuracy 0.889999985695, loop: 440
percent test accuracy 0.889999985695, loop: 450
percent test accuracy 0.889999985695, loop: 460
percent test accuracy 0.889999985695, loop: 470
percent test accuracy 0.894999980927, loop: 480
percent test accuracy 0.889999985695, loop: 490
percent test accuracy 0.884999990463, loop: 500
percent test accuracy 0.889999985695, loop: 510
percent test accuracy 0.884999990463, loop: 520
percent test accuracy 0.884999990463, loop: 530
percent test accuracy 0.875, loop: 540
percent test accuracy 0.875, loop: 550
percent test accuracy 0.875, loop: 560
