learning_rate = 0.1
ml.tf_mean_train(learning_rate=learning_rate, test=False, mode=mode, loops=1000)

percent test accuracy 0.75, loop: 130
percent test accuracy 0.75, loop: 140
percent test accuracy 0.75, loop: 150
percent test accuracy 0.75, loop: 160
percent test accuracy 0.75, loop: 170
percent test accuracy 0.754999995232, loop: 180
percent test accuracy 0.754999995232, loop: 190
percent test accuracy 0.764999985695, loop: 200
percent test accuracy 0.754999995232, loop: 210
percent test accuracy 0.764999985695, loop: 220
percent test accuracy 0.745000004768, loop: 230
percent test accuracy 0.754999995232, loop: 240
percent test accuracy 0.754999995232, loop: 250
percent test accuracy 0.759999990463, loop: 260
percent test accuracy 0.764999985695, loop: 270
percent test accuracy 0.769999980927, loop: 280
percent test accuracy 0.764999985695, loop: 290
percent test accuracy 0.764999985695, loop: 300
percent test accuracy 0.769999980927, loop: 310
percent test accuracy 0.764999985695, loop: 320
percent test accuracy 0.769999980927, loop: 330
percent test accuracy 0.769999980927, loop: 340
percent test accuracy 0.75, loop: 350
percent test accuracy 0.769999980927, loop: 360
percent test accuracy 0.764999985695, loop: 370
percent test accuracy 0.769999980927, loop: 380
percent test accuracy 0.759999990463, loop: 390
percent test accuracy 0.774999976158, loop: 400
percent test accuracy 0.769999980927, loop: 410
percent test accuracy 0.764999985695, loop: 420
percent test accuracy 0.769999980927, loop: 430
percent test accuracy 0.774999976158, loop: 440
percent test accuracy 0.774999976158, loop: 450
percent test accuracy 0.769999980927, loop: 460
percent test accuracy 0.759999990463, loop: 470
percent test accuracy 0.785000026226, loop: 480
percent test accuracy 0.785000026226, loop: 490
percent test accuracy 0.795000016689, loop: 500
percent test accuracy 0.774999976158, loop: 510
percent test accuracy 0.785000026226, loop: 520
percent test accuracy 0.790000021458, loop: 530
percent test accuracy 0.795000016689, loop: 540
percent test accuracy 0.795000016689, loop: 550
percent test accuracy 0.77999997139, loop: 560
percent test accuracy 0.795000016689, loop: 570
percent test accuracy 0.795000016689, loop: 580
percent test accuracy 0.785000026226, loop: 590
percent test accuracy 0.790000021458, loop: 600
percent test accuracy 0.800000011921, loop: 610
percent test accuracy 0.795000016689, loop: 620
percent test accuracy 0.800000011921, loop: 630
percent test accuracy 0.795000016689, loop: 640
percent test accuracy 0.785000026226, loop: 650
percent test accuracy 0.77999997139, loop: 660
percent test accuracy 0.785000026226, loop: 670
percent test accuracy 0.790000021458, loop: 680
percent test accuracy 0.77999997139, loop: 690
percent test accuracy 0.774999976158, loop: 700
percent test accuracy 0.77999997139, loop: 710
percent test accuracy 0.790000021458, loop: 720
percent test accuracy 0.785000026226, loop: 730
percent test accuracy 0.790000021458, loop: 740
percent test accuracy 0.790000021458, loop: 750
percent test accuracy 0.795000016689, loop: 760
percent test accuracy 0.795000016689, loop: 770
percent test accuracy 0.795000016689, loop: 780
percent test accuracy 0.805000007153, loop: 790
percent test accuracy 0.785000026226, loop: 800
percent test accuracy 0.790000021458, loop: 810
percent test accuracy 0.75, loop: 820
percent test accuracy 0.790000021458, loop: 830
percent test accuracy 0.795000016689, loop: 840
percent test accuracy 0.805000007153, loop: 850
percent test accuracy 0.795000016689, loop: 860
percent test accuracy 0.795000016689, loop: 870
percent test accuracy 0.800000011921, loop: 880
percent test accuracy 0.785000026226, loop: 890
percent test accuracy 0.790000021458, loop: 900
percent test accuracy 0.790000021458, loop: 910
percent test accuracy 0.800000011921, loop: 920
percent test accuracy 0.795000016689, loop: 930
percent test accuracy 0.795000016689, loop: 940
percent test accuracy 0.800000011921, loop: 950
percent test accuracy 0.790000021458, loop: 960
percent test accuracy 0.795000016689, loop: 970
percent test accuracy 0.810000002384, loop: 980
percent test accuracy 0.805000007153, loop: 990
percent test accuracy 0.810000002384, loop: 1000
percent test accuracy 0.810000002384, loop: 1001


percent test accuracy 0.800000011921, loop: 10
percent test accuracy 0.805000007153, loop: 20
percent test accuracy 0.800000011921, loop: 30
percent test accuracy 0.790000021458, loop: 40
percent test accuracy 0.800000011921, loop: 50
percent test accuracy 0.795000016689, loop: 60
percent test accuracy 0.800000011921, loop: 70
percent test accuracy 0.795000016689, loop: 80
percent test accuracy 0.805000007153, loop: 90
percent test accuracy 0.774999976158, loop: 100
percent test accuracy 0.814999997616, loop: 110
percent test accuracy 0.805000007153, loop: 120
percent test accuracy 0.805000007153, loop: 130
percent test accuracy 0.800000011921, loop: 140
percent test accuracy 0.810000002384, loop: 150
percent test accuracy 0.805000007153, loop: 160
percent test accuracy 0.800000011921, loop: 170
percent test accuracy 0.790000021458, loop: 180
percent test accuracy 0.795000016689, loop: 190
percent test accuracy 0.785000026226, loop: 200
percent test accuracy 0.805000007153, loop: 210
percent test accuracy 0.805000007153, loop: 220
percent test accuracy 0.774999976158, loop: 230
percent test accuracy 0.810000002384, loop: 240
percent test accuracy 0.800000011921, loop: 250
percent test accuracy 0.810000002384, loop: 260
percent test accuracy 0.805000007153, loop: 270
percent test accuracy 0.810000002384, loop: 280
percent test accuracy 0.805000007153, loop: 290
percent test accuracy 0.795000016689, loop: 300
percent test accuracy 0.800000011921, loop: 310
percent test accuracy 0.790000021458, loop: 320
percent test accuracy 0.790000021458, loop: 330
percent test accuracy 0.805000007153, loop: 340
percent test accuracy 0.769999980927, loop: 350
percent test accuracy 0.795000016689, loop: 360
percent test accuracy 0.824999988079, loop: 370
percent test accuracy 0.805000007153, loop: 380
percent test accuracy 0.790000021458, loop: 390
percent test accuracy 0.805000007153, loop: 400
percent test accuracy 0.795000016689, loop: 410
percent test accuracy 0.805000007153, loop: 420
percent test accuracy 0.814999997616, loop: 430
percent test accuracy 0.805000007153, loop: 440
percent test accuracy 0.834999978542, loop: 450
percent test accuracy 0.810000002384, loop: 460
percent test accuracy 0.810000002384, loop: 470
percent test accuracy 0.805000007153, loop: 480
percent test accuracy 0.810000002384, loop: 490
percent test accuracy 0.819999992847, loop: 500
percent test accuracy 0.819999992847, loop: 510
percent test accuracy 0.810000002384, loop: 520
percent test accuracy 0.805000007153, loop: 530
percent test accuracy 0.795000016689, loop: 540
percent test accuracy 0.814999997616, loop: 550
percent test accuracy 0.795000016689, loop: 560
percent test accuracy 0.810000002384, loop: 570
percent test accuracy 0.819999992847, loop: 580
percent test accuracy 0.829999983311, loop: 590
percent test accuracy 0.819999992847, loop: 600
percent test accuracy 0.814999997616, loop: 610
percent test accuracy 0.814999997616, loop: 620
percent test accuracy 0.824999988079, loop: 630
percent test accuracy 0.810000002384, loop: 640
percent test accuracy 0.795000016689, loop: 650
percent test accuracy 0.814999997616, loop: 660
percent test accuracy 0.829999983311, loop: 670
percent test accuracy 0.824999988079, loop: 680
percent test accuracy 0.834999978542, loop: 690
percent test accuracy 0.800000011921, loop: 700
percent test accuracy 0.819999992847, loop: 710
percent test accuracy 0.810000002384, loop: 720
percent test accuracy 0.819999992847, loop: 730
percent test accuracy 0.839999973774, loop: 740
percent test accuracy 0.850000023842, loop: 750
percent test accuracy 0.810000002384, loop: 760
percent test accuracy 0.819999992847, loop: 770
percent test accuracy 0.829999983311, loop: 780
percent test accuracy 0.814999997616, loop: 790
percent test accuracy 0.829999983311, loop: 800
percent test accuracy 0.814999997616, loop: 810
percent test accuracy 0.834999978542, loop: 820
percent test accuracy 0.790000021458, loop: 830
percent test accuracy 0.810000002384, loop: 840
percent test accuracy 0.824999988079, loop: 850
percent test accuracy 0.829999983311, loop: 860
percent test accuracy 0.810000002384, loop: 870
percent test accuracy 0.834999978542, loop: 880
percent test accuracy 0.810000002384, loop: 890
percent test accuracy 0.814999997616, loop: 900
percent test accuracy 0.805000007153, loop: 910
percent test accuracy 0.814999997616, loop: 920
percent test accuracy 0.814999997616, loop: 930
percent test accuracy 0.814999997616, loop: 940
percent test accuracy 0.839999973774, loop: 950
percent test accuracy 0.834999978542, loop: 960
percent test accuracy 0.829999983311, loop: 970
percent test accuracy 0.834999978542, loop: 980
percent test accuracy 0.829999983311, loop: 990
percent test accuracy 0.814999997616, loop: 1000
percent test accuracy 0.814999997616, loop: 1001
